voxStructIDs,isForebrain,isMidbrain,isHindbrain,isDpall,sampleBrain,sampleForebrain,sampleMidbrain,sampleHindbrain,sampleDpall,isBrain
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
15750,1,0,0,0,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
16001,1,0,0,1,0,0,0,0,0,1
